Time+F36B1A1:FA1:B1425,Concentration
05/22/26 11:44:00.675,76600
05/22/26 11:44:07.396,76500
05/22/26 11:44:14.103,76700
05/22/26 11:44:20.785,76600
05/22/26 11:44:27.482,76500
05/22/26 11:44:34.137,76600
05/22/26 11:44:40.877,76600
05/22/26 11:44:47.572,76700
05/22/26 11:44:54.183,76600
05/22/26 11:45:00.916,77200
05/22/26 11:45:07.672,77300
05/22/26 11:45:14.370,77200
05/22/26 11:45:20.976,77200
05/22/26 11:45:27.642,77300
05/22/26 11:45:34.341,77300
05/22/26 11:45:41.007,77500
05/22/26 11:45:47.840,77500
05/22/26 11:45:54.502,78100
05/22/26 11:46:01.243,78100
05/22/26 11:46:08.040,78200
05/22/26 11:46:14.728,78100
05/22/26 11:46:21.446,78100
05/22/26 11:46:28.179,78400
05/22/26 11:46:34.856,77900
05/22/26 11:46:41.528,78500
05/22/26 11:46:48.185,79100
05/22/26 11:46:54.928,79100
05/22/26 11:47:01.679,79600
05/22/26 11:47:08.383,79900
05/22/26 11:47:15.211,80400
05/22/26 11:47:22.084,80600
05/22/26 11:47:28.888,80400
05/22/26 11:47:35.711,79900
05/22/26 11:47:42.550,80100
05/22/26 11:47:49.346,79400
05/22/26 11:47:56.159,79800
05/22/26 11:48:02.940,79900
05/22/26 11:48:09.794,79900
05/22/26 11:48:16.584,79600
05/22/26 11:48:23.392,79100
05/22/26 11:48:30.184,79900
05/22/26 11:48:36.852,79600
05/22/26 11:48:43.660,79600
05/22/26 11:48:50.365,79300
05/22/26 11:48:57.187,79900
05/22/26 11:49:03.900,79800
05/22/26 11:49:10.728,80100
05/22/26 11:49:17.477,79600
05/22/26 11:49:24.358,79400
05/22/26 11:49:31.135,79900
05/22/26 11:49:37.947,79900
05/22/26 11:49:44.772,79600
05/22/26 11:49:51.569,79600
05/22/26 11:49:58.348,80100
05/22/26 11:50:05.133,79900
05/22/26 11:50:12.023,80600
05/22/26 11:50:18.976,80600
05/22/26 11:50:25.750,80100
05/22/26 11:50:32.675,80200
05/22/26 11:50:39.585,80700
05/22/26 11:50:46.475,80700
05/22/26 11:50:53.379,81200
05/22/26 11:51:00.318,81200
05/22/26 11:51:07.217,80700
05/22/26 11:51:14.059,81200
05/22/26 11:51:20.893,81000
05/22/26 11:51:27.952,81400
05/22/26 11:51:34.820,81000
05/22/26 11:51:41.773,81000
05/22/26 11:51:48.696,81200
05/22/26 11:51:55.550,81500
05/22/26 11:52:02.511,81400
05/22/26 11:52:09.435,81000
05/22/26 11:52:16.356,81200
05/22/26 11:52:23.205,81400
05/22/26 11:52:30.114,81400
05/22/26 11:52:37.160,82100
05/22/26 11:52:44.115,81800
05/22/26 11:52:50.950,81500
05/22/26 11:52:57.922,82000
05/22/26 11:53:04.904,82500
05/22/26 11:53:11.975,82000
05/22/26 11:53:19.007,81700
05/22/26 11:53:25.994,81500
05/22/26 11:53:32.937,82100
05/22/26 11:53:39.939,82300
05/22/26 11:53:46.997,82300
05/22/26 11:53:53.854,83100
05/22/26 11:54:00.908,82800
05/22/26 11:54:07.876,82800
05/22/26 11:54:14.790,82600
05/22/26 11:54:21.754,82600
05/22/26 11:54:28.699,83100
05/22/26 11:54:35.756,82600
05/22/26 11:54:42.903,82300
05/22/26 11:54:49.989,82900
05/22/26 11:54:57.093,83100
05/22/26 11:55:04.060,83300
05/22/26 11:55:11.171,83400
05/22/26 11:55:18.302,83100
05/22/26 11:55:25.327,83600
05/22/26 11:55:32.408,84100
05/22/26 11:55:39.492,84100
05/22/26 11:55:46.570,83100
05/22/26 11:55:53.615,83300
05/22/26 11:56:00.585,83600
